# f (Hz)	sigma(f)	PI(f)
2.412500e+01	1.565190e-06	7.172309e-08
2.415625e+01	1.551239e-06	7.111755e-08
2.418750e+01	1.547642e-06	7.053762e-08
2.421875e+01	1.547130e-06	6.996316e-08
2.425000e+01	1.673780e-06	6.939412e-08
2.428125e+01	1.535564e-06	6.883042e-08
2.431250e+01	1.528772e-06	6.827202e-08
2.434375e+01	1.514401e-06	6.771886e-08
2.437500e+01	1.489865e-06	6.717089e-08
2.440625e+01	1.478934e-06	6.662804e-08
2.443750e+01	1.470325e-06	6.609026e-08
2.446875e+01	1.479489e-06	6.555750e-08
2.450000e+01	1.588039e-06	6.502971e-08
2.453125e+01	1.471491e-06	6.452159e-08
2.456250e+01	1.451129e-06	6.403062e-08
2.459375e+01	1.448128e-06	6.354401e-08
2.462500e+01	1.452145e-06	6.306170e-08
2.465625e+01	1.479152e-06	6.258366e-08
2.468750e+01	1.487414e-06	6.210984e-08
2.471875e+01	1.447314e-06	6.164021e-08
2.475000e+01	1.436075e-06	6.117471e-08
2.478125e+01	1.430223e-06	6.071330e-08
2.481250e+01	1.422220e-06	6.025595e-08
2.484375e+01	1.411847e-06	5.980262e-08
2.487500e+01	1.405187e-06	5.935326e-08
2.490625e+01	1.400218e-06	5.890783e-08
2.493750e+01	1.390241e-06	5.848175e-08
2.496875e+01	1.403726e-06	5.806819e-08
2.500000e+01	inf	5.765807e-08
2.503125e+01	1.374912e-06	5.725136e-08
2.506250e+01	1.341492e-06	5.684801e-08
2.509375e+01	1.325178e-06	5.644801e-08
2.512500e+01	1.306960e-06	5.605131e-08
2.515625e+01	1.286005e-06	5.565789e-08
2.518750e+01	1.270674e-06	5.526771e-08
2.521875e+01	1.265020e-06	5.488075e-08
2.525000e+01	1.270292e-06	5.449697e-08
2.528125e+01	1.266858e-06	5.411634e-08
2.531250e+01	1.238006e-06	5.373884e-08
2.534375e+01	1.165143e-06	5.336443e-08
2.537500e+01	1.123540e-06	5.300658e-08
2.540625e+01	1.096894e-06	5.265978e-08
2.543750e+01	1.073020e-06	5.231567e-08
2.546875e+01	1.061726e-06	5.197423e-08
2.550000e+01	1.093573e-06	5.163543e-08
2.553125e+01	1.022655e-06	5.129925e-08
2.556250e+01	1.001834e-06	5.096566e-08
2.559375e+01	9.905186e-07	5.063465e-08
2.562500e+01	9.895085e-07	5.030619e-08
2.565625e+01	1.008570e-06	4.998026e-08
2.568750e+01	1.018211e-06	4.965683e-08
2.571875e+01	9.714797e-07	4.933588e-08
2.575000e+01	9.372921e-07	4.901739e-08
2.578125e+01	9.102017e-07	4.870134e-08
2.581250e+01	8.909782e-07	4.838771e-08
2.584375e+01	8.765113e-07	4.808642e-08
2.587500e+01	8.659013e-07	4.779674e-08
2.590625e+01	8.568038e-07	4.750916e-08
2.593750e+01	8.466571e-07	4.722365e-08
2.596875e+01	8.395886e-07	4.694019e-08
2.600000e+01	2.396750e-06	4.665878e-08
2.603125e+01	8.234450e-07	4.637938e-08
2.606250e+01	8.140442e-07	4.610200e-08
2.609375e+01	8.047063e-07	4.582660e-08
2.612500e+01	7.974944e-07	4.555317e-08
2.615625e+01	8.512620e-07	4.528170e-08
2.618750e+01	7.934690e-07	4.501216e-08
2.621875e+01	7.890336e-07	4.474455e-08
2.625000e+01	8.014526e-07	4.447885e-08
2.628125e+01	7.829073e-07	4.421504e-08
2.631250e+01	7.885851e-07	4.395310e-08
2.634375e+01	inf	4.369897e-08
2.637500e+01	7.888051e-07	4.345787e-08
2.640625e+01	7.853930e-07	4.321839e-08
2.643750e+01	7.773583e-07	4.298051e-08
2.646875e+01	7.654125e-07	4.274421e-08
2.650000e+01	7.889774e-07	4.250949e-08
2.653125e+01	7.509337e-07	4.227634e-08
2.656250e+01	7.421355e-07	4.204473e-08
2.659375e+01	7.428384e-07	4.181466e-08
2.662500e+01	7.535727e-07	4.158612e-08
2.665625e+01	7.717495e-07	4.135910e-08
2.668750e+01	7.610873e-07	4.113358e-08
2.671875e+01	7.349098e-07	4.090955e-08
2.675000e+01	7.296779e-07	4.068700e-08
2.678125e+01	7.273123e-07	4.046592e-08
2.681250e+01	7.249845e-07	4.024629e-08
2.684375e+01	7.240202e-07	4.002811e-08
2.687500e+01	7.266474e-07	3.981395e-08
2.690625e+01	7.254676e-07	3.961395e-08
2.693750e+01	7.242236e-07	3.941520e-08
2.696875e+01	7.279312e-07	3.921767e-08
2.700000e+01	2.224250e-06	3.902135e-08
2.703125e+01	7.253981e-07	3.882624e-08
2.706250e+01	7.235316e-07	3.863234e-08
2.709375e+01	7.290082e-07	3.843962e-08
2.712500e+01	7.403583e-07	3.824809e-08
2.715625e+01	7.405229e-07	3.805772e-08
2.718750e+01	7.348190e-07	3.786853e-08
2.721875e+01	7.439927e-07	3.768049e-08
2.725000e+01	7.613824e-07	3.749359e-08
2.728125e+01	7.879641e-07	3.730784e-08
2.731250e+01	8.050137e-07	3.712322e-08
2.734375e+01	7.551613e-07	3.693972e-08
2.737500e+01	7.660518e-07	3.675734e-08
2.740625e+01	9.013771e-07	3.657606e-08
2.743750e+01	8.902627e-07	3.639661e-08
2.746875e+01	9.255907e-07	3.623127e-08
2.750000e+01	9.271068e-07	3.606686e-08
2.753125e+01	7.540943e-07	3.590338e-08
2.756250e+01	7.316934e-07	3.574083e-08
2.759375e+01	7.792376e-07	3.557920e-08
2.762500e+01	7.167691e-07	3.541848e-08
2.765625e+01	7.054295e-07	3.525867e-08
2.768750e+01	7.262325e-07	3.509976e-08
2.771875e+01	7.655234e-07	3.494174e-08
2.775000e+01	7.170639e-07	3.478461e-08
2.778125e+01	6.529507e-07	3.462836e-08
2.781250e+01	6.450419e-07	3.447299e-08
2.784375e+01	6.563347e-07	3.431849e-08
2.787500e+01	6.703542e-07	3.416486e-08
